hotel_name,rating_and_delivery_time,food_type,location,offer
FreshMenu,4.1 • 49 mins,"Continental, Chinese, Oriental, Asian, Healthy Food, Fast Food, Indian, Desserts",Goregaon East, EVERY ITEM @ ₹129
Lucky Restaurant (Since 1938),4.1 • 40 mins,"Biryani, North Indian, Chinese, Mughlai, Seafood, Desserts, Tandoor, Punjabi, Indian",Goregaon East, ₹125 OFF ABOVE ₹749
The Paratha House,4.1 • 47 mins,"North Indian, Indian",Malad Kan East, 50% OFF UPTO ₹100
Rabdi Wala,4.2 • 37 mins,"Desserts, Gujarati, Rajasthani, Snacks",Borivali West, 
Ladu Samrat,4.3 • 43 mins,"Maharashtrian, Snacks, Street Food, Indian, Desserts, Chaat",Kandivali East, FREE ITEM 
Greens Restaurant,4.4 • 54 mins,"North Indian, Chinese, South Indian",Malad West, ₹100 OFF ABOVE ₹599
Chocolateria San Churro,2.2 • 39 mins,Desserts,Borivali, ₹175 OFF ABOVE ₹449
The Churro Co.,4.1 • 38 mins,"Desserts, Beverages, Waffle",Kandivali East, ₹50 OFF ABOVE ₹999
The Dough Therapy,4.1 • 39 mins,"Pizzas, Pastas, Italian",Kandivali West, ₹175 OFF ABOVE ₹799
Barbeque Nation,4 • 45 mins,"North Indian, Barbecue, Biryani, Kebabs, Mughlai, Desserts",Kandivali East, 40% OFF UPTO ₹80
Aromas Cafe & Bistro,4.2 • 50 mins,"Continental, Italian, Lebanese, Beverages",Malad Kan East, ₹125 OFF ABOVE ₹249
Chai Pe Charcha,4 • 40 mins,Beverages,Kandivali West, 20% OFF UPTO ₹100
Cremure,4.5 • 38 mins,"Bakery, Desserts, Waffle, Beverages",Malad West, ₹175 OFF ABOVE ₹449
EatFit,4.2 • 39 mins,"Chinese, Healthy Food, Tandoor, Pizzas, North Indian, Thalis, Biryani",Gorai Road, ITEMS AT ₹179
Biryani Can - Pure Veg Biryanis,3.9 • 37 mins,Biryani,Kandivali West, ₹175 OFF ABOVE ₹599
Cheelizza - India ka Pizza,4.2 • 39 mins,"Pizzas, Italian, Fast Food",Kandivali West, ₹175 OFF ABOVE ₹699
Bake Ur Day - Freshest Cakes,3.7 • 39 mins,"Desserts, Bakery, Cakes and Pastries, Beverages",Borivali West, ₹175 OFF ABOVE ₹449
Radha Krishna,3.8 • 38 mins,Indian,Borivali, 
Amar Juice Center,4.4 • 37 mins,"Street Food, Beverages, South Indian",Borivali West, 
MM Mithaiwala,4.4 • 42 mins,"Sweets, Snacks, Desserts, Beverages",Malad West, 15% OFF ABOVE ₹800
Haldiram's Restaurant,4.3 • 38 mins,"Snacks, South Indian, Desserts, Beverages",Malad Kan East, 50% OFF UPTO ₹100
Taco Bell,4 • 49 mins,Mexican,Kandivali East, 50% OFF UPTO ₹100
Wow! Momo,4.1 • 45 mins,"Tibetan, Healthy Food, Asian, Chinese, Snacks, Continental, Desserts, Beverages",Malad East, ₹175 OFF ABOVE ₹599
Bangalore Iyangar's Bakery,4.9 • 47 mins,"Bakery, Desserts, Snacks",Kandivali West, 
Dum Safar Biryani by Barbeque Nation,4.3 • 48 mins,"Biryani, Kebabs, Tandoor, Indian, Desserts",GROWELS MALL, 40% OFF UPTO ₹80
Wow! China,4.1 • 43 mins,"Tibetan, Healthy Food, Asian, Chinese, Snacks, Continental, Desserts, Beverages",Akruli Road, 60% OFF UPTO ₹120
Malgudi,4.1 • 37 mins,"South Indian, Mangalorean, Andhra, Snacks, Healthy Food",Kandivali East, ₹125 OFF ABOVE ₹249
Oye Kiddan,3.9 • 43 mins,North Indian,Borivali West, ₹175 OFF ABOVE ₹449
Sbarro - New York Pizza,3.9 • 38 mins,"Italian, Pizzas, Desserts, Beverages",Kandivali East, ₹125 OFF ABOVE ₹299
Cookie Man,4.4 • 37 mins,"Desserts, Ice Cream, Bakery",Kandivali East, 40% OFF UPTO ₹80
Pop Tate's,4.2 • 37 mins,"Continental, Italian, European, Mexican",Kandivali East, 20% OFF UPTO ₹50
Shiv Sagar,4.3 • 38 mins,"Indian, Continental, Chinese",Mahavir Nagar, 10% OFF ABOVE ₹600
Urban Tadka,4.3 • 43 mins,"North Indian, Mughlai",Kandivali East, 20% OFF UPTO ₹50
Uncle's Kitchen (Since 1987),4.4 • 42 mins,"Chinese, Asian, Thai",Malad West, 15% OFF ABOVE ₹1000
