hotel_name,rating_and_delivery_time,food_type,location,offer
Shawarma Corner,3 • 54 mins,Arabian,Malad Kan East, 50% OFF UPTO ₹250
The Sandwich House,3.7 • 46 mins,"Snacks, Fast Food, Pizzas, American, Desserts",Borivali West, 
CELEBRATE WITH CAKE,27 mins,Bakery,Malad Kan East, 
Live Puff Factory,29 mins,Snacks,Borivali, 
Sanjog Restaurant,3.9 • 32 mins,"Indian, Kebabs, Chinese, Tandoor, Biryani, Beverages, Juices",Dahisar, 
Bottoms Up,4.7 • 29 mins,Beverages,Borivali, 
Minus Zero Degree Icecreams,4.3 • 26 mins,"Desserts, Ice Cream, Beverages",Borivali, 
Tea Pea,4.2 • 32 mins,"Italian, Beverages, Desserts, Snacks, Fast Food, Chaat, American",Borivali, 
Wedeshi Canteen,2 • 29 mins,"Waffle, Desserts",BORIVALI EAST, 
Pizza Mania,4.1 • 47 mins,"Pizzas, Fast Food",Jog Gor East, 
Miami Shakes & More,3.8 • 33 mins,"Desserts, Beverages",Borivali, ₹175 OFF ABOVE ₹449
Chinese Adda,3.4 • 44 mins,"Chinese, Fast Food, Italian",Dahisar, 
BlackBun,4.3 • 36 mins,Bakery,Malad Kan East, 20% OFF UPTO ₹50
Subhash Paan Bhandar,4.4 • 34 mins,Indian,Kandivali West, 
MCF - V Kitchen,4.2 • 39 mins,"Indian, Chinese",Borivali West, 
Shegaon Kachori - Maha 203,4.7 • 34 mins,Snacks,Malad Kan West, 
Pooja Malai Gola,3.9 • 30 mins,Desserts,Malad Kan East, 
Bake & Bite,4.3 • 31 mins,Bakery,Dahisar, ₹175 OFF ABOVE ₹449
shree balaji foods,4.1 • 35 mins,Fast Food,Malad Kan East, 
Shree Rameshwar Ice Cream And Falooda,4.6 • 37 mins,"Ice Cream, Beverages",Jog Gor East, 
Baskin Robbins,38 mins,Ice Cream,Malad Kan East, 
Chopsticks Pure Veg,4.1 • 35 mins,"Chinese, Continental, Indian",Borivali West, 
Mitron Kandivali,5 • 43 mins,"Italian-American, Fast Food, Salads",Malad Kan East, 
UK14 Icecream,19 mins,"Bakery, Ice Cream, Beverages",Malad Kan East, 
Sage,4.5 • 26 mins,"Pastas, European, Continental, Italian, Cafe",Kandivali East, 20% OFF UPTO ₹50
Bombay Chinese Co.,3.6 • 41 mins,"Thai, Chinese, Indian",Malad East, 40% OFF UPTO ₹200
Bombay Healthy Juices,4.3 • 42 mins,Juices,Borivali, 
Pooja Chinese Corner,4.1 • 45 mins,Chinese,Kandivali - West, 20% OFF ABOVE ₹700
Poush - Essence of Kashmir,4.3 • 52 mins,"Indian, Bengali, Mughlai",Malad West, 20% OFF ABOVE ₹700
Taste of Italy,4.5 • 67 mins,"Continental, Italian, Fast Food",Malad Kan West, 
Manaqish - Lebanese Gourmet,49 mins,"Lebanese, Salads, Snacks",Borivali, ₹50 OFF ABOVE ₹499
Tawa Twist ( Pure Veg ),4.2 • 53 mins,"North Indian, Chinese, South Indian",Goregaon, 
Vaishalis Krustty Kremme,41 mins,"Bakery, Cakes and Pastries, Desserts",Borivali, 20% OFF UPTO ₹125
Saute,4.2 • 53 mins,"Thai, Chinese, Indian, Tandoor",Malad West, 
PizzAah! District,4 • 46 mins,Pizzas,Kandivali West, 
Satnam Golden Fast Food Centre,4.6 • 42 mins,"Fast Food, Italian, Mexican, Snacks",Kandivali West, 
The Kulfi & Falooda Project,3.9 • 52 mins,"Ice Cream, Beverages, Juices, Desserts",Malad West, ₹75 OFF ABOVE ₹300
Coffee Craft,4.4 • 43 mins,"Beverages, Fast Food, Desserts",Borivali West, 
K's Charcoal,4.3 • 43 mins,"Italian, Mexican",Borivali West, 
7 Islands,4.4 • 53 mins,"Indian, Oriental, Snacks, North Indian, Chinese, Pastas",Malad Kan West, 20% OFF UPTO ₹100
Namaskar - The Maharaja,3.9 • 44 mins,"North Indian, Seafood, Biryani, Tandoor, Kebabs",Dahisar, 
Cheezza Point,3.8 • 53 mins,"Pizzas, Burgers, Snacks, Beverages",Malad West, 
Hen Hao Chi,3.8 • 44 mins,Chinese,Borivali West, 15% OFF ABOVE ₹700
Mantra,4.5 • 46 mins,North Indian,Borivali West, 
Sam Chinese Corner,4.4 • 58 mins,Chinese,Malad East, 
Albela Chinese Home,4.3 • 43 mins,Chinese,Borivali West, 
Mother's Touch Gujrati,4 • 74 mins,Indian,Malad West, ₹250 OFF ABOVE ₹999
Nityanand (Kandivali),4.3 • 42 mins,"Indian, Chinese",Dhanukarwadi, 
Dream Wok,4.3 • 57 mins,"North Indian, Chinese",Dahisar West, ₹200 OFF ABOVE ₹749
The Chinese Village,4 • 47 mins,"Chinese, Beverages, Desserts",Gorai, 
Royal Chinese Cafe,51 mins,Chinese,Malad Kan West, 
Snackiezz,4.5 • 51 mins,"Continental, Beverages, Snacks, Italian-American",Dahisar, 25% OFF UPTO ₹125
Bipin Sandwich & Pizza Plaza,4.5 • 44 mins,Pizzas,Borivali West, 10% OFF ABOVE ₹700
PS Pav Bhaji,5 • 44 mins,"Indian, Fast Food",Malad Kan East, 30% OFF UPTO ₹150
Bipin Big Sandwich,4.1 • 50 mins,"Snacks, Fast Food",Borivali, 
Ambika Chinese Restaurant (Since 2005),3.7 • 50 mins,"Indian, Chinese",Kandivali West, ₹150 OFF ABOVE ₹999
Dum De Biryani,47 mins,"Snacks, Biryani, Tandoor, Indian",Borivali, 25% OFF UPTO ₹125
Gup Shup Snacks Junction,59 mins,Snacks,Malad Kan West, 
Swaad E Rasoi,4.3 • 52 mins,"Chinese, Asian, Thai",Goregaon, 10% OFF ABOVE ₹600
Chocoholix,4.6 • 43 mins,Bakery,Malad Kan West, 
Unique Cake Shop,4.6 • 43 mins,"Bakery, Desserts, Snacks",Malad Kan West, 
Dandelions Kitchen & Bar,4.5 • 47 mins,"Indian, Kebabs, Continental, Thai, Burmese, Salads, Seafood",Borivali, 
Hassan Kabab Spot,4.3 • 43 mins,"Snacks, North Indian, Indian",Jog Gor East, 
Nagori Tea Point,4.2 • 41 mins,Beverages,Malad Kan West, 
Eat Hygiene,4.5 • 59 mins,"Pizzas, Pastas, Desserts, Beverages",Jog Gor East, 
Raju's Chinese Corner,52 mins,Chinese,Borivali, ₹175 OFF ABOVE ₹449
Food Lovers,4 • 51 mins,Chinese,Malad Kan West, 
Enchante By Chai Point,2.4 • 46 mins,"Bakery, Beverages, Maharashtrian, Snacks, Street Food, South Indian, Punjabi, Chaat, Indian, American, North Indian, Fast Food, Desserts, Cafe, Healthy Food, Home Food",Malad West, 40% OFF UPTO ₹80
Hot Lee Chinese,4.4 • 46 mins,"Chinese, Asian, Desserts, Beverages",Borivali, ₹175 OFF ABOVE ₹449
Food Planet,4.3 • 39 mins,"Snacks, Pizzas, Burgers, Fast Food",Borivali, 
Waffle World,4.8 • 35 mins,"Waffle, Desserts",Borivali, 
Snack Eat,41 mins,"Indian, Snacks",Rawal Pada, 
The Sandwich Story,3.5 • 69 mins,"Indian, Snacks, Juices, Desserts",Malad West, ₹75 OFF ABOVE ₹300
Little Loco Pops,4.4 • 46 mins,"Ice Cream, Desserts",Malad West, ₹175 OFF ABOVE ₹449
Moody Foody,4.1 • 47 mins,"Indian, Maharashtrian, Street Food, Chinese, Pizzas, Fast Food, Burgers, Cafe, Beverages",Kandivali east , 
BFF- Bombay French Fries,2.9 • 36 mins,"Continental, Desserts, Beverages",Borivali, ₹175 OFF ABOVE ₹449
The Waffle Room,2.8 • 37 mins,"Waffle, Cafe",Kandivali, ₹250 OFF ABOVE ₹999
Quick Meal,4.2 • 36 mins,"Indian, Chinese",Borivali East, 
Eagle Boys Pizza and Cafe,2.5 • 39 mins,"Italian, Pizzas, Burgers, Pastas, Beverages",Borivali west, 20% OFF UPTO ₹100
Chyna,4.2 • 35 mins,Chinese,Malad Kan East, 
JK Sweets,4.4 • 32 mins,"Sweets, Desserts",Malad West Mumbai, 
Foods Planet,32 mins,Biryani,Borivali, 
Gangaur Thali,4.4 • 31 mins,"Indian, Thalis",Borivali, 
The Sandwich Zone,4.3 • 33 mins,"Fast Food, Italian, Snacks",Borivali, 
Power Smoothies,4.6 • 33 mins,"Healthy Food, Beverages",Borivali, 30% OFF ABOVE ₹700
Triveni Pan Bhandar,3.3 • 39 mins,"Paan, Desserts",Borivali, 
Vividham Sweets,4.3 • 27 mins,"Sweets, Snacks",Borivali, 
Food Shood,4.7 • 30 mins,"Indian, North Indian, Snacks, Mughlai, Tandoor, Kebabs, Punjabi, Biryani, Chinese, Street Food",Borivali, 
Gigil Brasserie,4.2 • 43 mins,"Italian, Pizzas, Beverages",Borivali West, 25% OFF ABOVE ₹1000
Nirala Gourmet Kitchen,4.1 • 50 mins,"Pizzas, Pastas, Burgers, Snacks",Borivali, 60% OFF UPTO ₹120
Hotel Sai Prasad Family Restaurant,4 • 52 mins,"North Indian, Chinese, Tandoor, Beverages",Borivali, 
Sarova Bar & Restaurant,4.8 • 42 mins,"Thalis, Chinese, North Indian",Kandivali East, 
Pizza In Town,4.1 • 50 mins,Indian,Dahisar, 
Jay Bhavani Fast Food Center,54 mins,"Fast Food, North Indian, Chinese, Biryani",Borivali, ₹40 OFF ABOVE ₹499
Raja Chinese Corner,3.6 • 42 mins,Chinese,Borivali, 10% OFF ABOVE ₹1300
Agga Bai,4.6 • 52 mins,Desserts,Borivali, 10% OFF UPTO ₹40
Golden Delicacy Multicuisine Restaurant,4.3 • 41 mins,"Indian, South Indian, Chinese, Tandoor, Biryani, Snacks, Italian-American, Ice Cream, Beverages",Borivali, 
Bombay Boba,3.2 • 42 mins,Beverages,Kandivali West, 
OM R K Fast Food,4.4 • 42 mins,South Indian,Borivali, 
PLATESS MULTICUISINE RESTAURANT,3 • 47 mins,"Chinese, Indian",Borivali, 
Namak Mirchi,4.3 • 30 mins,"North Indian, Biryani, Chinese, Mughlai, Punjabi, Kebabs",Kandivali East, 50% OFF UPTO ₹100
Mozo Pizzaria,3.6 • 28 mins,"Pizzas, Burgers, Chinese, Desserts, Italian",Behind Annexe Mall, 50% OFF UPTO ₹100
The Khichdi House,3.3 • 25 mins,"Indian, North Indian, Thalis, Desserts",Malad Kan East, 50% OFF UPTO ₹100
Tandav Tea Company,3.8 • 29 mins,"Snacks, Beverages",Malad Kan East, 10% OFF UPTO ₹40
Oven Stories Pizza,3.5 • 33 mins,"Pizzas, Burgers, Desserts, Chinese, Pastas, Italian",Kandivali East, 50% OFF UPTO ₹100
Creamillaa,4.8 • 19 mins,"Desserts, Ice Cream",Malad Kan East, 
Thakkar Lunch Home,4 • 25 mins,"Indian, Snacks",Kandivali East, 20% OFF UPTO ₹50
Mama's By Banjara Dhaba Veg,4.1 • 25 mins,"North Indian, Chinese, Fast Food, Snacks, Biryani",Malad Kan East, 60% OFF UPTO ₹120
Combos & More - The Steal Deal Food Factory,4.1 • 29 mins,"Chinese, Pan-Asian, Thai, Beverages",Kandivali East, 
Hotel Matsyagandha,4.3 • 34 mins,"North Indian, Malwani, Chinese, Seafood, Mangalorean, Tandoor",Kandivali East, 
Love 99,3.9 • 35 mins,"Desserts, Waffle, Beverages, Bakery",Mahavir Nagar, 15% OFF ABOVE ₹600
House Of Combos,34 mins,"Combo, Continental, Asian",Borivali, 
Ice Cap The Cake Shop,32 mins,Bakery,Malad Kan East, 
Biryani Lovers,3.4 • 44 mins,"Biryani, Arabian, Tandoor",Malad Kan East, 
Glaciers Cakes And More,28 mins,Bakery,Malad Kan East, 25% OFF ABOVE ₹159
Happy Moments The Cake Shop,32 mins,Bakery,Malad Kan East, 
The Dutch Waffles,28 mins,"Bakery, Desserts",Malad Kan East, 
Chile Ma,24 mins,"Bakery, Waffle",Malad Kan East, 
Uncle's Kitchenette,28 mins,"Waffle, Bakery",Malad Kan East, 
De Firrrangi cafe,31 mins,"Juices, Beverages",Malad Kan East, 
DK's Kitchen,4.4 • 33 mins,"Chinese, Tandoor",Borivali East, 
Bbcc - Borivali Barbeque Chinese Co.,32 mins,Italian,Malad Kan East, 
Choco Pack,33 mins,Desserts,Malad Kan East, 
Sandwich Co.,33 mins,Fast Food,Malad Kan East, 
Vivgato The Live Cake Shop,2.7 • 37 mins,"Bakery, Desserts",Malad Kan East, 
M M Dum Biriyani Centre,4.1 • 34 mins,"Indian, Biryani, Beverages",Borivali, 
Hari Om Snack Bar,3.8 • 37 mins,"Fast Food, Snacks, Indian",Kandivali, 
Jaggu Anna,1.5 • 39 mins,"Fast Food, Kebabs, Snacks",Borivali, 
Signature Premium Cafe & Resto,3.7 • 39 mins,"Pizzas, Fast Food, South Indian, Juices, Snacks",Borivali West, 
Mangalam,4.1 • 37 mins,"Indian, Chinese",Borivali West, 
Chaat Samrat,3.8 • 38 mins,"Chaat, Pizzas, Pastas, Fast Food, Snacks, Burgers",Dahisar, 
Cafe Town,36 mins,Burgers,Borivali, 
Hotel Aqua Stone RESTO BAR,5 • 38 mins,"Chinese, Snacks, Beverages, North Indian, Kebabs",Dahisar, 
Srijana Momo House,5 • 35 mins,Chinese,Malad Kan East, 
Cafe To Gather,34 mins,Fast Food,Malad Kan East, ₹200 OFF ABOVE ₹999
Meal In Minutes,34 mins,"North Indian, Pizzas, Fast Food, Snacks, Beverages",Malad Kan East, 50% OFF UPTO ₹100
Wanton Point Tadka,4.3 • 34 mins,"Indian, Chinese",Kandivali East, 
Agri Malhari Katta.(Tandoori House),4.3 • 50 mins,"Biryani, Chinese, Tandoor, Kebabs, North Indian, Sweets",Borivali, 10% OFF ABOVE ₹600
Daily 52,5 • 50 mins,Indian,Borivali, 
Culture Kitchen,52 mins,"Chinese, Snacks",Jog Gor East, 
Golden Plate,3.8 • 55 mins,"Chinese, North Indian, Biryani, Beverages",Dahisar, 
Casa Curry,43 mins,Burgers,Borivali, 
The Cookie Dough,3.7 • 58 mins,"Snacks, Bakery, Fast Food, Beverages",Malad West, 
What The Wok,4.3 • 43 mins,Chinese,Borivali West, ₹100 OFF ABOVE ₹999
Burgerbook,4.5 • 52 mins,"American, Fast Food",Malad Kan West, 
Kamath Dakshinswaad,4.2 • 47 mins,South Indian,Malad Kan East, 
Shweta's Taatbhar Potbhar,4.1 • 45 mins,"Indian, Biryani",Borivali, ₹100 OFF ABOVE ₹749
Momento Pizza,4.3 • 45 mins,"Pizzas, Italian, Fast Food",Borivali West, 
Brownie Point Malad,41 mins,Bakery,Malad Kan West, 
Cafe A1,4.1 • 52 mins,"North Indian, Tandoor, Mughlai, Chinese, Fast Food, Desserts, Beverages",Malad Kan West, 
Desi Dawat,44 mins,Indian,Charkop, 
Slide A Roll,4.1 • 50 mins,Snacks,Malad West, 
Mr Singhs Tandoori Hut by RPD,4.2 • 64 mins,"North Indian, Tandoor, Biryani",Malad West, 
Shree Siddhivinayak juice and snacks centre,4.8 • 44 mins,Fast Food,Dahisar East, 
Kalubai juice center,4.4 • 46 mins,"Beverages, Juices",Borivali, 50% OFF UPTO ₹250
Dragon Flame Chinese,3.5 • 50 mins,Chinese,Kandivali West, 25% OFF UPTO ₹125
Ashish Chinese Corner,3.6 • 40 mins,Chinese,kandivalli charkop, 
The Tasty Love,5 • 50 mins,"Chinese, Arabian, Biryani, South Indian",Jog Gor East, ₹200 OFF ABOVE ₹999
Noon Roti - Story of Bihar,3.2 • 49 mins,"Indian, North Indian",KANDIVALI WEST, ₹100 OFF ABOVE ₹599
Preeti Sandwich and juice center,4.2 • 40 mins,"Snacks, Italian, Pizzas, Pastas, Beverages",Mahavir Nagar, 10% OFF ABOVE ₹900
AL-Falah Irani Chai Momos And More,4 • 54 mins,Biryani,Borivali West, 
Baan Khun yay,4.1 • 53 mins,"Chinese, Thai, Desserts",Borivali, ₹100 OFF ABOVE ₹999
Film City Fast Food,3.4 • 58 mins,"Indian, Chinese",Malad Kan East, 
The Bombay Stories,4.3 • 57 mins,"Street Food, Beverages, Fast Food, Pizzas, Pastas",Malad West, 10% OFF UPTO ₹100
Boneto Fine Dine,4.5 • 59 mins,Indian,Malad Kan East, 
Chhedas,3.7 • 46 mins,"Snacks, Sweets",Jog Gor East, 
Amit Fast Food- Chinese Corner,4.5 • 53 mins,Chinese,Malad West, 
Sai Sarovar,4.4 • 49 mins,"North Indian, Snacks, Chinese",Malad Kan West, 
Thew Pueblo Gourmet - TPG,4.2 • 45 mins,"Snacks, Beverages",Borivali, 
Raza Biryani,3.2 • 60 mins,"Biryani, Kebabs, Tandoor",Malad Kan East, 
New Sam's Kitchen,4.4 • 58 mins,"Indian, Chinese",Goregaon, 
Flavour & Spice,3.7 • 54 mins,"Fast Food, Indian, Tandoor",Borivali, ₹175 OFF ABOVE ₹449
Fishermans Hook,4.1 • 57 mins,"North Indian, Chinese, Seafood",Malad West, 
WEST COAST DINER,4.5 • 50 mins,Desserts,Dahisar, 
Lady The Leaf,3.9 • 51 mins,"Continental, Salads, Grill, Juices, Beverages",Malad West, 25% OFF UPTO ₹125
DYNAMIC CAKE,51 mins,Bakery,Jog Gor East, 
Om Sai Dosa Center,40 mins,South Indian,Kandivali East, 
Gravy and Savy,4.2 • 55 mins,"North Indian, Indian",Kandivali W, 
Mithilanchal - Xpress Of Food Abode,2.3 • 51 mins,"Indian, Seafood",KANDIVALI WEST, ₹100 OFF ABOVE ₹599
Dale's Eden - Gifting,47 mins,"Desserts, Sweets",Malad Kan West, ₹175 OFF ABOVE ₹449
Subhanallah Chinese,4.7 • 56 mins,Chinese,Malad West, 
Jalandharwala,4.6 • 41 mins,"Indian, Snacks, Desserts",Borivali, 
Rolls & Many More,3.3 • 46 mins,Burgers,Borivali, ₹250 OFF ABOVE ₹999
La pizza house,3.3 • 43 mins,"Fast Food, Snacks, Pizzas, Maharashtrian",Dahisar west, 
Trunks & Leaves,4.1 • 46 mins,"Chinese, Italian, Mexican, Indian, Kebabs, Tandoor, Biryani",Kandivali West, ₹100 OFF ABOVE ₹999
KOFU - Premium Artisanal Icecreams,3.6 • 41 mins,Ice Cream,Jog Gor East, ₹175 OFF ABOVE ₹449
IceCream Cake City,4.2 • 45 mins,"Bakery, Beverages",Malad Kan West, 
Oye Lucky Paratha,3.8 • 51 mins,"Indian, Punjabi, Beverages",Malad West, 
Adventure Momo House,4.1 • 51 mins,Chinese,Malad Kan West, 
Reuben Restrobar,4.2 • 59 mins,"North Indian, Chinese, Italian, Snacks, Biryani, Desserts, Continental, Pizzas, Salads, Beverages, Mughlai",Malad Kan West, 
Wu Momos - Malad,3.8 • 49 mins,"Chinese, Snacks",Malad Kan West, ₹100 OFF ABOVE ₹749
Aradhana Hotel,4.2 • 42 mins,"South Indian, Indian",Malad Kan West, 
Trends,4.4 • 56 mins,"Indian, Chinese",Malad West, 
Conscious Baking Project,3.5 • 42 mins,"Bakery, Desserts",Jog Gor East, 
Paanjo Taste,4.3 • 43 mins,"Pizzas, Fast Food",Borivali West, 
Bhor,4.6 • 61 mins,Indian,Jog Gor West, 
Kung Fu,3.7 • 42 mins,"Chinese, Pan-Asian, Continental, Asian",Kandivali West, ₹125 OFF ABOVE ₹249
Crust & Buns,4.1 • 51 mins,"Pizzas, Fast Food, Italian, Salads",Borivali West, ₹250 OFF ABOVE ₹999
Kababi Nation,4.4 • 59 mins,"Indian, Chinese, Tandoor, Biryani",Borivali, 
Deepak Chinese Corner,60 mins,Chinese,Malad Kan West, 20% OFF ABOVE ₹700
Tight House,4 • 59 mins,"Pizzas, Chinese, Indian, Beverages, Biryani",Borivali West, 
Chulha  Sardari,4.6 • 45 mins,"North Indian, Punjabi, Biryani, Chinese, Indian",Borivali West, 
Yo Social Cafe,61 mins,"Indian, North Indian, Chinese, Biryani, Pastas, Snacks",Malad Kan West, 
Curry N Fry,4.1 • 52 mins,"Biryani, Chinese, Tandoor, North Indian",Malad East, ₹175 OFF ABOVE ₹449
Hot Grill,43 mins,"North Indian, Biryani",Dahisar, 
CBC Chinese By Choice,3.8 • 50 mins,"Chinese, Thai, Asian, Beverages",Malad Kan East, 30% OFF UPTO ₹150
The Little Cakery,3.3 • 52 mins,"Bakery, Desserts",Jog Gor East, 
Shree Shankar Vilas Juice Centre,41 mins,Beverages,Dahisar, 
Salads@169,4.3 • 52 mins,Salads,Malad Kan West, 25% OFF UPTO ₹125
Chavdar Thamba,48 mins,"Indian, Thalis",Mira Road, ₹80 OFF ABOVE ₹499
Joker Joe s pizza,4 • 61 mins,"Italian, Beverages",Jog Gor East , ₹250 OFF ABOVE ₹999
Sandwich And Frankey House,53 mins,"Fast Food, Snacks, Italian-American, Beverages",Jog Gor East, 
Marve Bakery,48 mins,"North Indian, Chaat",Malad Kan West, 
Idaily - Idli Daily,51 mins,"South Indian, Snacks, Indian, Beverages",Malad Kan West, 
Grow More Snacks(Maitri Amruttulya),46 mins,Beverages,Malad Kan West, 
Mudras,3.8 • 43 mins,"Pizzas, Fast Food, Beverages, Indian",Borivali, 
Sunday The Comfort Kitchen,5 • 46 mins,"Chinese, Continental, Indian, Goan, Italian, Salads",Borivali, 
Shivansh Kitchen,4.8 • 66 mins,"South Indian, Beverages, Snacks",Kandivali West, 
The Live Cake Shop,4.2 • 47 mins,Desserts,Kandivali West, 
Rasoi kamaal,4.2 • 54 mins,"Malwani, Chinese, North Indian",Goregaon, 20% OFF ABOVE ₹700
Masterji - Surati Anda Gotala,4.3 • 45 mins,"Indian, Gujarati",Borivali, 
Momos & Waffle Cafe,3.8 • 51 mins,"Chinese, Kebabs",Borivali, 30% OFF UPTO ₹150
AADI GRAND RESTAURANT,46 mins,Indian,Borivali, 
Brahmi-The Veg Bistro,3.5 • 40 mins,"Biryani, Indian, Chinese, Beverages",Malad East, ₹175 OFF ABOVE ₹449
Namaste Borivali,4.3 • 41 mins,"Snacks, Beverages",Borivali, ₹250 OFF ABOVE ₹999
Chaska Corner,47 mins,Biryani,Malad Kan West, ₹250 OFF ABOVE ₹999
Dharma Sandwich,2.6 • 53 mins,Fast Food,Malad Kan East, 
Manojs Ice Cream,4.7 • 42 mins,Ice Cream,Kandivali West, 
Food Lover Point,3.5 • 52 mins,Indian,Goregaon, 
Shiv Shakti,3.6 • 51 mins,North Indian,Borivali West, 10% OFF ABOVE ₹1000
Suyog Dining Bar,4.6 • 41 mins,"Indian, Chinese",Dahisar, 
81 Olives,3.4 • 45 mins,Pizzas,Borivali, 
Remi'S Kitchen,5 • 41 mins,"Jain, Chinese, Tibetan",Malad Kan East, 
Aqua Dhaba,47 mins,"Indian, Chinese, Biryani",Dahisar, 20% OFF UPTO ₹120
Healthy Shawarma,3.6 • 40 mins,Arabian,Borivali, ₹250 OFF ABOVE ₹999
Oriv Resto - Cafe - Bar,4.3 • 56 mins,"Chinese, Pizzas, Snacks, Pastas",Borivali, ₹100 OFF ABOVE ₹999
Delights,47 mins,"Bakery, Desserts",Mira Road, 
Nagori tea and cold drinks shop,4.5 • 42 mins,"Beverages, Snacks",Malad Kan West, ₹150 OFF ABOVE ₹749
Delhi Sweet & Bhelpuri House,3.7 • 46 mins,"Snacks, Sweets, Chaat, Street Food",Malad West, 
Shri Sainath,4.8 • 46 mins,"Chinese, Tandoor",Malad West, 
Backyard Beer Garden,50 mins,Chinese,Dahisar, 
Donna's Pizza,4 • 43 mins,Pizzas,Kandivali West, 
Gourmet Veg Burgers By Spukies,4.9 • 55 mins,"Burgers, American, Beverages",Jog Gor East, 
Kabali,4.1 • 67 mins,"Indian, Tandoor, Salads",Malad Kan West, ₹250 OFF ABOVE ₹999
Gossip Corner,4.4 • 46 mins,"Continental, Italian",Borivali West, ₹100 OFF ABOVE ₹999
Rajdhani Caterers,2.4 • 53 mins,Indian,Dahisar West, 
Dave's Dal Dhokli,4.7 • 60 mins,"Gujarati, Rajasthani, Maharashtrian",Dahisar West, 
Plate - It,4 • 62 mins,"Biryani, Italian",Borivali, ₹125 OFF ABOVE ₹499
Squares Pizza and Cafe,4.3 • 52 mins,"Italian, Pizzas",Malad West, 
Sriya chinese Restaurant,3.5 • 46 mins,"Chinese, North Indian, Indian, Beverages",Kandivali West, 25% OFF ABOVE ₹600
Shanghai Chinese Pure Veg,3.8 • 51 mins,Chinese,Dahisar East, ₹250 OFF ABOVE ₹999
Jumboking Indain Burger,4 • 46 mins,"Burgers, Snacks, Beverages",Malad Kan West, ₹175 OFF ABOVE ₹449
Annalaxmi Snacks ,3.9 • 52 mins,"Chinese, South Indian, Tandoor, Arabian, Fast Food",Jog Gor East, 20% OFF ABOVE ₹1000
M/S. Aslam Chicken,3.4 • 47 mins,"North Indian, Kebabs, Desserts",Mira Road, 
Dharmu's Snacks Corner,4.2 • 50 mins,"Snacks, Maharashtrian",Borivali, 
Aaradhya Super Restaurant,30 mins,Beverages,Malad Kan East, 
New Cake Place,32 mins,Bakery,Borivali, 
Bounty The Cake Stop,4.1 • 32 mins,"Bakery, Desserts",Borivali, 
SHRINATH SWEETS AND SNACKS,27 mins,Sweets,Borivali, 
Bombay Blues Icecream,32 mins,"Ice Cream, Desserts, Sweets",Borivali, 
SHREE  GANESH SWEET SHOP,32 mins,"Beverages, Fast Food",Borivali, 
Shreeji Fast Food And juice Center,32 mins,"Beverages, Burgers, South Indian, Fast Food, Pizzas, Chinese, Indian, Snacks",Borivali, 25% OFF UPTO ₹125
Munchies's Thakur Complex,3.7 • 33 mins,"Beverages, Italian",Malad Kan East, 30% OFF UPTO ₹150
Vrindavan Fine Foods,30 mins,"Sweets, Desserts",Malad Kan East, 
Food Of Joy,33 mins,"Italian-American, Fast Food, Chinese, Beverages",Malad Kan East, 30% OFF UPTO ₹150
Bombay Tea,32 mins,"Beverages, Desserts, Bakery",Borivali, 
Subday Thakur Complex,3.4 • 33 mins,"Indian, Fast Food, Beverages",Malad Kan East, 30% OFF UPTO ₹150
King of juices thakur complex,3.7 • 33 mins,Juices,Malad Kan East, 30% OFF UPTO ₹150
Tittaas,31 mins,"Beverages, Ice Cream, Desserts",Borivali, 25% OFF UPTO ₹65
I Am Foodie,32 mins,"Fast Food, Snacks, Indian",Borivali, ₹100 OFF ABOVE ₹499
Shree Narayan Fine Dinning,3.4 • 33 mins,"South Indian, North Indian, Chinese, Malwani, Tandoor",Borivali, 
Delightful Meals,27 mins,"Indian, Snacks, Thalis","Kandivali East, Thakur Village", 
Bhukkad Thali & Combo,4.4 • 27 mins,"Thalis, Chinese, North Indian",Malad Kan East, 60% OFF UPTO ₹120
Bhukkad Biryani,2.4 • 28 mins,Biryani,Malad Kan East, 60% OFF UPTO ₹120
Annapurna Theplahouse & Dry Snacks,27 mins,Snacks,Malad Kan East, 30% OFF UPTO ₹75
Parathe Wali Gulli,29 mins,"North Indian, Beverages",Malad Kan East, 
Eggless Cakes,49 mins,Bakery,Dahisar, 
Cake Star,4.4 • 46 mins,"Desserts, Bakery",Borivali West, 
Fast Food Adda,4.2 • 51 mins,"Snacks, Fast Food",Borivali, 
Waffles By Di Bella,4.7 • 57 mins,"Desserts, Waffle, Ice Cream, Bakery, Snacks",Malad West, 10% OFF ABOVE ₹600
Indie Feast By Purple Foods,3.4 • 46 mins,"Indian, Tandoor, Kebabs, Biryani, Beverages, Desserts",A K Vaidya Marg, ₹100 OFF ABOVE ₹599
Cake Story,42 mins,Bakery,Borivali, 
Swa Varhadi Misal,4.2 • 48 mins,"Street Food, Beverages",Jog Gor West, 
Pav Bhaji Company,2.5 • 41 mins,"Street Food, North Indian, Juices",Rawal Pada, 
Soroush Biriyani,2.8 • 49 mins,"Biryani, Mughlai",Goregaon, 25% OFF UPTO ₹120
Diamond Restaurant,4.2 • 55 mins,"Chinese, Indian, Snacks",Jog Gor East, 10% OFF UPTO ₹100
Bowl Up!,2.6 • 41 mins,"North Indian, Sweets",Dahisar East, 
The Hot Chinese,3.1 • 46 mins,"Chinese, Thai",Malad East, 40% OFF UPTO ₹200
